32940793,/auto_zaz_lanos_32940793.html,ЗАЗ Lanos 2013,1.5 л • Бензин 1.5 л • Газ / Бензин вказано продавцем, Білий Колір не вказано продавцем
33120504,/auto_yamaha_fz_33120504.html,Yamaha FZ 2009,1 л • Бензин, Чорний
32086071,/auto_opel_omega_32086071.html,Opel Omega 2000,2.5 л • Бензин, Чорний
32978820,/auto_mercedes_benz_e_class_32978820.html,Mercedes-Benz E-Class 2011,3 л • Дизель, Чорний
32896786,/auto_vaz_lada_2111_32896786.html,ВАЗ / Lada 2111 2008,1.6 л • Бензин, Червоний
31994225,/auto_ford_focus_31994225.html,Ford Focus 2006,1.6 л • Бензин, Сірий
32648214,/auto_ford_f_150_32648214.html,Ford F-150 2015,2.7 л • Бензин Об'єм двигуна не вказаний продавцем, Чорний
32478075,/auto_dodge_journey_32478075.html,Dodge Journey 2008,2 л • Дизель, Сірий
32580602,/auto_renault_scenic_32580602.html,Renault Megane Scenic 2005 Renault Scenic 2005 вказано продавцем,1.6 л • Бензин, Сірий Синій вказано продавцем
32458188,/auto_kawasaki_zzr_1400_32458188.html,13 тис. км,1.4 л (200 к.с. / 147 кВт),Ручна / Механіка
32446724,/auto_hyundai_sonata_32446724.html,Hyundai Sonata 2014,2.4 л • Бензин, Чорний
29871264,/auto_vaz_lada_2108_29871264.html
31422356,/auto_skoda_octavia_31422356.html,Skoda Octavia 2007,2 л • Дизель, Сірий
26962225,/auto_hyundai_santa_fe_26962225.html,Hyundai Santa FE 2013,2.2 л • Дизель, Сірий
30800619,/auto_subaru_outback_30800619.html,Subaru Outback 2013,2.5 л • Бензин, Бежевий
30878630,/auto_jeep_cherokee_30878630.html,Jeep Cherokee 2018,2 л • Бензин, Чорний
8600654,/auto_volkswagen_transporter_8600654.html
18172999,/auto_mercedes_benz_sprinter_18172999.html
33934164,/auto_mitsubishi_i_miev_33934164.html,Mitsubishi i-MiEV 2011,Електро, Сірий
34382807,/auto_suzuki_gsx_750f_katana_34382807.html,32 тис. км,0.75 л
28714459,/auto_scania_r_380_28714459.html,Scania R114 2001,10.6 л • Дизель, Білий
33336855,/auto_toyota_avensis_33336855.html,Toyota Avensis 2008,2.2 л • Дизель, Сірий
33623210,/auto_mercedes_benz_s_class_33623210.html,Mercedes-Benz S-Class 2014,4.7 л • Бензин, Чорний
33889166,/auto_citroen_c4_picasso_33889166.html,Citroen C4 Picasso 2011,1.6 л • Бензин, Синій
34218666,/auto_vaz_lada_2112_34218666.html,ВАЗ / Lada 2112 2002,1.5 л • Бензин 1.5 л • Газ / Бензин вказано продавцем, Синій
33755019,/auto_viper_150_33755019.html,16 тис. км,(0.15 к.с. / 0 кВт) • Бензин,Ручна / Механіка
34218662,/auto_opel_astra_34218662.html,Opel Astra 2007,1.8 л • Бензин, Чорний
33755002,/auto_citroen_c4_picasso_33755002.html,Citroen C4 Picasso 2010,1.6 л • Дизель, Білий
33492759,/auto_yinxiang_yx_33492759.html,7 тис. км,Бензин,Ручна / Механіка
33627880,/auto_mazda_3_33627880.html,Mazda 3 2009,1.6 л • Газ / Бензин, Синій
33627934,/auto_vaz_lada_2110_33627934.html,ВАЗ / Lada 2110 2007,1.6 л • Газ / Бензин, Сірий
33627872,/auto_bmw_5_series_33627872.html
33754986,/auto_ford_escort_33754986.html,Ford Escort 1997,1.3 л • Бензин 1.3 л • Газ / Бензин вказано продавцем, Зелений
33492698,/auto_opel_insignia_33492698.html,Opel Insignia 2014,2 л • Дизель, Чорний
33486503,/auto_nissan_leaf_33486503.html,Nissan Leaf 2016,Електро, Сірий
33492489,/auto_nissan_rogue_33492489.html,Nissan Rogue 2020,2.5 л • Бензин, Сірий
33492503,/auto_nissan_primera_33492503.html,Nissan Primera 2002,2.2 л • Дизель, Сірий
33475382,/auto_peugeot_3008_33475382.html,Peugeot 3008 2009,2 л • Дизель, Коричневий
33332924,/auto_ford_c_max_33332924.html,Ford C-Max 2005,1.6 л • Бензин 1.6 л • Дизель вказано продавцем, Синій
33332790,/auto_bmw_5_series_33332790.html,BMW 5 Series 1998,2.5 л • Дизель, Сірий
33333002,/auto_volkswagen_golf_gti_33333002.html,Volkswagen Golf 2011 Volkswagen Golf GTI 2011 вказано продавцем,2 л • Бензин, Синій
33332674,/auto_renault_scenic_rx4_33332674.html
